rang,id,author,author_short,year,title,journal,type,langue,doi,url,number_citations,citations_source,citations_imputees,citations_utilisees,recurrence,cite_par,bibliographie_depouillee,round,direction,found_via,statut,c1,c2,c3,c4,pertinence_thematique,cit_norm,year_norm,pert_norm,score,citationAuteurAnnee,etiquette,notes,rang_inclus
1,porter1965,"Porter, John",,1965,The Vertical Mosaic: An Analysis of Social Class and Power in Canada,Toronto : University of Toronto Press,book,en,,,257.0,Consensus/Semantic Scholar 2026-09 (fiche du compte rendu Social Forces 1965),0,257.0,50,beattie1971; beattie1972; beland1982; beland1987; beland2010; blishen1967; blishen1970; blishen1987; boulet1980; boyd1985; breton1978; coleman1984; cuneo1975; darroch1979; dean2022; dofny1969; donovan2024; fenwick1982; fortin2011; gagnon2023; geloso2025; helmeshayes1998; herberg1990; laczko1995; lanphier1974; lautard1990; levine1990; lian1998; lieberson1970; marion1972; mcroberts1976; mcroberts1979; mcroberts1988; migue1970; nakhaie1994; nakhaie1997; ogmundson1992; pendakur2002; pettinicchio2012; ram1980; raynauld1974; rcbb1969; sales1985; vaillancourt1978; vaillancourt1980; vaillancourt1989; vaillancourt1996; vaillancourt2024b; wanner1999; wanner2005,1,1,backward,"Consensus ; cité par beland2010, nakhaie1994, fenwick1982, ram1980",inclus,2,2,1,1,6,0.9360637346330659,0.2857142857142857,0.625,0.649,"(Porter, 1965)","The Vertical Mosaic: An Analysis of Social Class and Po... (Porter, 1965)",Ouvrage fondateur de la stratification ethnique au Canada (recensement 1961) : 'mosaïque verticale' où les Canadiens français sont sous-représentés dans les professions supérieures et les élites économiques ; chapitre 'Ethnicity and social class'.,1.0
2,rcbb1969,Commission royale d'enquête sur le bilinguisme et le biculturalisme (Laurendeau-Dunton),Commission B-B,1969,"Rapport de la Commission royale d'enquête sur le bilinguisme et le biculturalisme, Livre III : Le monde du travail",Ottawa : Imprimeur de la Reine,report,fr/en,,,,non indexé dans Consensus (rapport gouvernemental),1,15.0,80,albouy2008; beattie1971; beattie1972; beland1982; beland1987; beland2010; blishen1970; bloom1992; boulet1980; boulet1983; bourhis2012; bourhis2017; bourhis2019; boyd1985; breton1978; carliner1981; chiswick1988; christofides1998; coleman1984; cuneo1975; darroch1979; dean2022; dofny1969; donovan2024; fenwick1982; floch2012; fortin2011; gagnon2023; geloso2025; grenier1984; grenier1987; grenier2016; grenier2019; helmeshayes1998; herberg1990; lacroix1981; laczko1995; lanphier1974; lautard1990; levine1990; lian1998; lieberson1970; marion1972; mcroberts1976; mcroberts1979; mcroberts1988; migue1970; nadeau2010; nakhaie1994; nakhaie1997; ogmundson1992; pettinicchio2012; ram1980; raynauld1974; raynauld1975; sales1985; shapiro1981; shapiro1982; shapiro1987; shapiro1997; vaillancourt1978; vaillancourt1979; vaillancourt1980; vaillancourt1985; vaillancourt1988; vaillancourt1989; vaillancourt1991; vaillancourt1996; vaillancourt2001; vaillancourt2005; vaillancourt2007; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2019; vaillancourt2020; vaillancourt2024; vaillancourt2024b; wanner1999; wanner2005,1,1,backward,"bibliographies ram1980, vaillancourt2013, gagnon2023, dean2022 ; connaissance du texte",inclus,2,2,1,1,6,0.46737594867222937,0.3333333333333333,1.0,0.647,"(Commission B-B, 1969)","Rapport de la Commission royale d'enquête sur le biling... (Commission B-B, 1969)","Document fondateur : à partir du recensement de 1961, hiérarchie des revenus selon l'origine ethnique au Québec (les Canadiens français unilingues au 12e rang sur 14 ; revenu moyen des hommes d'origine française inférieur de 35 % à celui des hommes d'origine britannique) ; sous-représentation des francophones dans la direction des entreprises ; explications (scolarité, structure industrielle, propriété, discrimination).",2.0
3,carliner1981,"Carliner, Geoffrey",,1981,Wage differences by language group and the market for language skills in Canada,"Journal of Human Resources, 16(3), 384-399",article,en,10.2307/145627,,158.0,Consensus/Semantic Scholar 2026-09,0,158.0,39,albouy2008; beland2010; bloom1992; boulet1983; bousmah2021; boyd1985; chiswick1988; christofides1998; christofides2006; christofides2010; dean2022; fenwick1982; gagnon2023; geloso2025; grenier1984; grenier1987; grenier2016; grenier2019; laczko1995; levine1990; nadeau2010; nadeau2010b; nakhaie1994; pendakur2002; pettinicchio2012; shapiro1982; shapiro1987; shapiro1997; vaillancourt1985; vaillancourt1988; vaillancourt1991; vaillancourt1996; vaillancourt2001; vaillancourt2007; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2020; vaillancourt2024,1,1,backward,"bibliographies albouy2008, christofides2010, dean2022 ; Consensus",inclus,2,2,1,1,6,0.8544664021887505,0.47619047619047616,0.4875,0.613,"(Carliner, 1981)","Wage differences by language group and the market for l... (Carliner, 1981)","Recensement 1971 : théorie de la prime à la langue en 'demande excédentaire' ; au Québec, rendement de l'anglais pour les francophones, mais les francophones bilingues gagnent toujours moins que les anglophones unilingues, ceteris paribus.",3.0
4,lieberson1970,"Lieberson, Stanley",,1970,Language and Ethnic Relations in Canada,New York : John Wiley & Sons,book,en,,,120.0,Consensus/Semantic Scholar 2026-09 (fiche du compte rendu PSQ 1972),0,120.0,46,albouy2008; beattie1971; beattie1972; beland1987; beland2010; bloom1992; boulet1980; boulet1983; bourhis2012; bourhis2017; bourhis2019; boyd1985; breton1978; carliner1981; chiswick1988; coleman1984; cuneo1975; darroch1979; dean2022; fenwick1982; floch2012; gagnon2023; geloso2025; helmeshayes1998; herberg1990; lacroix1981; laczko1995; lanphier1974; lautard1990; levine1990; lian1998; mcroberts1976; mcroberts1979; mcroberts1988; nakhaie1994; nakhaie1997; ogmundson1992; pendakur2002; pettinicchio2012; ram1980; sales1985; vaillancourt1978; vaillancourt1979; vaillancourt1980; vaillancourt1985; vaillancourt1996,1,1,backward,"Consensus ; cité par ram1980, albouy2008",inclus,2,2,1,1,6,0.8084275673136565,0.34523809523809523,0.575,0.599,"(Lieberson, 1970)","Language and Ethnic Relations in Canada (Lieberson, 1970)",Sociologie écologique du bilinguisme ; chapitre sur les exigences professionnelles (Occupational Demands) et les écarts de revenu par langue maternelle à Montréal (1961) ; analyse des offres d'emploi.,4.0
5,vaillancourt1996,"Vaillancourt, François",,1996,"Language and socioeconomic status in Quebec: measurement, findings, determinants, and policy costs","International Journal of the Sociology of Language, 121, 69-92",article,en,10.1515/ijsl.1996.121.69,,61.0,Consensus/Semantic Scholar 2026-09,0,61.0,36,albouy2008; beland2010; bourhis2012; bourhis2017; bourhis2019; bousmah2021; christofides1998; christofides2006; christofides2010; dean2022; donovan2024; floch2012; fortin2011; gagnon2023; geloso2025; grenier2016; grenier2019; helmeshayes1998; nadeau2010; nadeau2010b; oqlf2022; pendakur2002; pettinicchio2012; shapiro1997; vaillancourt2001; vaillancourt2005; vaillancourt2007; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2019; vaillancourt2020; vaillancourt2024; vaillancourt2024b; wanner1999; wanner2005,1,1,backward,"bibliographies christofides2010, gagnon2023, dean2022 ; Consensus",inclus,2,2,1,1,6,0.6957120372869384,0.6547619047619048,0.45,0.587,"(Vaillancourt, 1996)","Language and socioeconomic status in Quebec: measuremen... (Vaillancourt, 1996)","Synthèse des outils de mesure (revenu, propriété, langue de travail) et des résultats sur le statut des francophones depuis 1960 ; déterminants (scolarité, demande de français, politiques) et coûts des politiques linguistiques.",5.0
6,shapiro1997,"Shapiro, Daniel M.; Stelcner, Morton",,1997,"Language and earnings in Quebec: Trends over twenty years, 1970-1990","Canadian Public Policy / Analyse de politiques, 23(2), 115-140",article,en,10.2307/3551481,,85.0,Consensus/Semantic Scholar 2026-09,0,85.0,29,albouy2008; beland2010; bourhis2017; bousmah2021; christofides1998; christofides2006; christofides2010; dean2022; donovan2024; floch2012; fortin2011; gagnon2023; geloso2025; grenier2016; grenier2019; nadeau2010; nadeau2010b; oqlf2022; pendakur2002; pettinicchio2012; vaillancourt2001; vaillancourt2007; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2020; vaillancourt2024; wanner1999; wanner2005,1,1,backward,"bibliographies nadeau2010, albouy2008 (IDEAS) ; Consensus",inclus,2,2,1,1,6,0.750870396536951,0.6666666666666666,0.3625,0.574,"(Shapiro et Stelcner, 1997)","Language and earnings in Quebec: Trends over twenty yea... (Shapiro et Stelcner, 1997)","Recensements 1971, 1981, 1991 : depuis la Loi 101, l'écart entre anglophones (unilingues et bilingues) et francophones bilingues s'est refermé ; détérioration relative des allophones et des francophones unilingues ; analyse par sexe.",6.0
7,levine1990,"Levine, Marc V.",,1990,The Reconquest of Montreal: Language Policy and Social Change in a Bilingual City,Philadelphia : Temple University Press,book,en,,,112.0,Consensus/Semantic Scholar 2026-09 (fiche du compte rendu APSR 1991),0,112.0,28,albouy2008; beland2010; bloom1992; bourhis2012; bourhis2017; bourhis2019; dean2022; donovan2024; floch2012; fortin2011; gagnon2023; geloso2025; grenier2016; grenier2019; helmeshayes1998; laczko1995; nakhaie1997; pettinicchio2012; shapiro1997; vaillancourt1991; vaillancourt1996; vaillancourt2001; vaillancourt2005; vaillancourt2007; vaillancourt2018; vaillancourt2019; vaillancourt2024b; wanner1999,1,1,backward,"Consensus ; bibliographies gagnon2023, dean2022",inclus,2,2,1,1,6,0.7968969031682949,0.5833333333333334,0.35,0.565,"(Levine, 1990)","The Reconquest of Montreal: Language Policy and Social... (Levine, 1990)","Francisation de l'économie montréalaise 1960-1989 : langue de travail, contrôle du capital, statut socioéconomique des francophones ; rôle conjoint de l'État québécois (sociétés d'État, Loi 101) et des forces du marché ; exode anglophone.",7.0
8,albouy2008,"Albouy, David",,2008,"The wage gap between Francophones and Anglophones: a Canadian perspective, 1970-2000","Canadian Journal of Economics, 41(4), 1211-1238",article,en,10.1111/j.1540-5982.2008.00501.x,,56.0,Consensus/Semantic Scholar 2026-09,0,56.0,23,beland2010; bourhis2017; bousmah2021; christofides2010; dean2022; donovan2024; floch2012; fortin2011; gagnon2023; geloso2025; grenier2016; grenier2019; nadeau2010; nadeau2010b; oqlf2022; pettinicchio2012; serre2023; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2019; vaillancourt2020; vaillancourt2024,1,0,seed,Consensus,inclus,2,2,1,1,6,0.6815381259677549,0.7976190476190477,0.2875,0.553,"(Albouy, 2008)","The wage gap between Francophones and Anglophones: a Ca... (Albouy, 2008)","Écart salarial hommes F/A : -25 points au Québec 1970-2000, -10 points au Canada ; salaires des anglophones du Québec en baisse relative (-15 pts) ; plus de la moitié de la réduction expliquée par la hausse de scolarité des francophones ; baisse de la demande de travail anglophone au Québec.",8.0
9,vaillancourt2007,"Vaillancourt, François; Lemay, Dominique; Vaillancourt, Luc",,2007,Laggards no more: The changed socioeconomic status of francophones in Quebec,C.D. Howe Institute Backgrounder no 103,report,en,,https://cdhowe.org/wp-content/uploads/2024/04/backgrounder_103_english.pdf,33.0,Consensus/Semantic Scholar 2026-09,0,33.0,27,albouy2008; beland2010; bourhis2012; bourhis2017; bourhis2019; bousmah2021; christofides2010; dean2022; donovan2024; floch2012; fortin2011; gagnon2023; geloso2025; grenier2016; grenier2019; nadeau2010; nadeau2010b; oqlf2022; pettinicchio2012; serre2023; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2019; vaillancourt2020; vaillancourt2024; vaillancourt2024b,1,1,backward,"bibliographies nadeau2010, christofides2010, vaillancourt2013 ; Consensus",inclus,2,2,1,1,6,0.5944394429410232,0.7857142857142857,0.3375,0.539,"(Vaillancourt et al., 2007)","Laggards no more: The changed socioeconomic status of f... (Vaillancourt et al., 2007)","1970-2000 : rendement du français en hausse, de l'anglais en baisse ; le bilinguisme accroît le revenu des hommes anglophones depuis 1980 et des femmes anglophones depuis 1990 ; propriété francophone de l'économie de 47 % (1961) à 67 % (2003).",9.0
11,vaillancourt1980,"Vaillancourt, François",,1980,"Differences in earnings by language groups in Quebec, 1970: An economic analysis","Québec : Centre international de recherche sur le bilinguisme (CIRB), Université Laval, Publication B-90",book,en,,,20.0,Consensus/Semantic Scholar 2026-09,0,20.0,47,albouy2008; beland2010; bloom1992; boulet1983; bousmah2021; boyd1985; chiswick1988; christofides1998; christofides2006; christofides2010; coleman1984; dean2022; fenwick1982; floch2012; fortin2011; gagnon2023; grenier1984; grenier1987; grenier2016; grenier2019; lacroix1981; laczko1995; levine1990; mcroberts1988; nadeau2010; nadeau2010b; nakhaie1994; pendakur2002; sales1985; shapiro1981; shapiro1982; shapiro1987; shapiro1997; vaillancourt1985; vaillancourt1988; vaillancourt1989; vaillancourt1991; vaillancourt1996; vaillancourt2001; vaillancourt2005; vaillancourt2007; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2019; vaillancourt2020; vaillancourt2024,1,1,backward,"bibliographies albouy2008, christofides2010, gagnon2023 ; Consensus",inclus,2,2,1,1,6,0.5132158805851962,0.4642857142857143,0.5875,0.531,"(Vaillancourt, 1980)","Differences in earnings by language groups in Quebec, 1... (Vaillancourt, 1980)",Thèse (Queen's) : cadre où la langue est à la fois attribut ethnique et capital humain ; équation de revenu des hommes du Québec en 1970 ; contribution de l'ethnicité à l'écart anglophones/francophones.,10.0
